id,word,description,meaning,pronunciation,lesson,level,example
1,わたし,NULL,tôi,NULL,1,NULL,NULL
2,あなた,NULL,"anh/chị, ông/bà, bạn (ngôi thứ II số ít)",NULL,1,NULL,NULL
3,あの ひと（あの かた）,NULL,"người kia, người đó, anh kia, chị kia",NULL,1,NULL,NULL
4,～さん,NULL,"anh, chị, ông, bà (hậu tố thêm vào phía sau tên của người khác khi gọi thể hiện tính lịch sự)",NULL,1,NULL,NULL
5,～ちゃん,NULL,(hậu tố thêm vào phía sau tên của trẻ em thay cho ～さん,NULL,1,NULL,NULL
6,～じん,NULL,(hậu tố mang nghĩa 'người'; ví dụ アメリカじん: người Mỹ,NULL,1,NULL,NULL
7,せんせい,NULL,thầy/cô (không dùng khi giới thiệu về nghề giáo viên của chính mình),NULL,1,NULL,NULL
8,きょうし,NULL,giáo viên,NULL,1,NULL,NULL
9,がくせい,NULL,"học sinh, sinh viên",NULL,1,NULL,NULL
10,かいしゃいん,NULL,nhân viên công ty,NULL,1,NULL,NULL
11,しゃいん,NULL,nhân viên công ty ～ (dùng kèm theo tên công ty; ví dụ IMC の しゃいん),NULL,1,NULL,NULL
12,ぎんこういん,NULL,nhân viên ngân hàng,NULL,1,NULL,NULL
13,いしゃ,NULL,bác sĩ,NULL,1,NULL,NULL
14,けんきゅうしゃ,NULL,nhà nghiên cứu,NULL,1,NULL,NULL
15,だいがく,NULL,"đại học, trường đại học",NULL,1,NULL,NULL
16,びょういん,NULL,bệnh viện,NULL,1,NULL,NULL
17,だれ（どなた）,NULL,"ai (どなた là cách nói lịch sự của だれ, vị nào)",NULL,1,NULL,NULL
18,－さい,NULL,－ tuổi,NULL,1,NULL,NULL
19,なんさい（おいくつ）,NULL,"mấy tuổi, bao nhiêu tuổi (おいくつ là cách nói lịch sự của なんさい)",NULL,1,NULL,NULL
20,はい,NULL,"vâng, dạ",NULL,1,NULL,NULL
21,いいえ,NULL,không,NULL,1,NULL,NULL
22,はじめまして。,NULL,"Rất hân hạnh được gặp anh/chị. (Đây là lời chào với người lần đầu tiên gặp, là câu nói đầu tiên khi giới thiệu về mình.)",NULL,1,NULL,NULL
23,～から きました。,NULL,Tôi đến từ ～.,NULL,1,NULL,NULL
24,［どうぞ］よろしく［おねがいします］。,NULL,Rất vui được làm quen với anh/chị. (Rất mong được sự giúp đỡ của anh/chị. Luôn được dùng làm câu kết thúc sau khi giới thiệu về mình.),NULL,1,NULL,NULL
25,しつれいですが,NULL,Xin lỗi.... (dùng khi hỏi ai đó về thông tin cá nhân như là tên hoặc địa chỉ của họ),NULL,1,NULL,NULL
26,おなまえは？,NULL,Tên anh/chị là gì?,NULL,1,NULL,NULL
27,こちらは ～さんです。,NULL,Đây là anh/chị/ông/bà ～.,NULL,1,NULL,NULL
28,アメリカ,NULL,Mỹ,NULL,1,NULL,NULL
29,イギリス,NULL,Anh,NULL,1,NULL,NULL
30,インド,NULL,Ấn Độ,NULL,1,NULL,NULL
31,インドネシア,NULL,In-đô-nê-xi-a,NULL,1,NULL,NULL
32,かんこく,NULL,Hàn Quốc,NULL,1,NULL,NULL
33,タイ,NULL,Thái Lan,NULL,1,NULL,NULL
34,ちゅうごく,NULL,Trung Quốc,NULL,1,NULL,NULL
35,ドイツ,NULL,Đức,NULL,1,NULL,NULL
36,にほん,NULL,Nhật Bản,NULL,1,NULL,NULL
37,ブラジル,NULL,Braxin,NULL,1,NULL,NULL
38,IMC／パワーでんき／ブラジルエアー,NULL,tên công ty giả định,NULL,1,NULL,NULL
39,AKC,NULL,tên tổ chức giả định,NULL,1,NULL,NULL
40,こうべびょういん,NULL,tên bệnh viện giả định,NULL,1,NULL,NULL
41,さくらだいがく／ふじだいがく,NULL,tên đại học giả định,NULL,1,NULL,NULL
42,わたしたち,NULL,"chúng tôi, chúng ta",NULL,1,NULL,NULL
43,みなさん,NULL,"các anh chị, các ông bà, các bạn, quý vị",NULL,1,NULL,NULL
44,～くん,NULL,(hậu tố thêm vào sau tên của em trai),NULL,1,NULL,NULL
45,エンジニア,NULL,kĩ sư,NULL,1,NULL,NULL
46,でんき,NULL,"điện, đèn điện",NULL,1,NULL,NULL
47,フランス,NULL,Pháp,NULL,1,NULL,NULL
48,これ,NULL,"cái này, đây (vật ở gần người nói)",NULL,2,NULL,NULL
49,それ,NULL,"cái đó, đó (vật ở gần người nghe)",NULL,2,NULL,NULL
50,あれ,NULL,"cái kia, kia (vật ở xa cả người nói và người nghe)",NULL,2,NULL,NULL
51,この ～,NULL,～ này (gần người nói),NULL,2,NULL,NULL
52,その ～,NULL,～ đó (gần người nghe),NULL,2,NULL,NULL
53,あの ～,NULL,～ kia (xa cả người nói và người nghe,NULL,2,NULL,NULL
54,ほん,NULL,sách,NULL,2,NULL,NULL
55,じしょ,NULL,từ điển,NULL,2,NULL,NULL
56,ざっし,NULL,tạp chí,NULL,2,NULL,NULL
57,しんぶん,NULL,báo,NULL,2,NULL,NULL
58,ノート,NULL,vở,NULL,2,NULL,NULL
59,てちょう,NULL,sổ tay,NULL,2,NULL,NULL
60,めいし,NULL,danh thiếp,NULL,2,NULL,NULL
61,カード,NULL,"thẻ (tín dụng), các, cạc",NULL,2,NULL,NULL
62,えんぴつ,NULL,bút chì,NULL,2,NULL,NULL
63,ボールペン,NULL,bút bi,NULL,2,NULL,NULL
64,シャープペンシル,NULL,"bút chì kim, bút chì bấm",NULL,2,NULL,NULL
65,かぎ,NULL,chìa khóa,NULL,2,NULL,NULL
66,とけい,NULL,đồng hồ,NULL,2,NULL,NULL
67,かさ,NULL,"ô, dù",NULL,2,NULL,NULL
68,かばん,NULL,"cặp sách, túi sách",NULL,2,NULL,NULL
